id,Name,Colour,Action,Value,Points,FileName
models.card[ id=-5346734013010897990, Name=Blue 1, Colour=BLUE, Action=NUMBER, Value=1, Points=1, File=c3_01.png ]
models.card[ id=1853861957984095750, Name=Blue 6, Colour=BLUE, Action=NUMBER, Value=6, Points=6, File=c3_06.png ]
models.card[ id=2049157569313127177, Name=Green Reverse, Colour=GREEN, Action=REVERSE, Value=null, Points=20, File=c2_11.png ]
models.card[ id=-6565768911232483353, Name=Green 7, Colour=GREEN, Action=NUMBER, Value=7, Points=7, File=c2_07.png ]
models.card[ id=8363241423531603159, Name=Green 8, Colour=GREEN, Action=NUMBER, Value=8, Points=8, File=c2_08.png ]
models.card[ id=-5807660789825236864, Name=Red Draw2, Colour=RED, Action=DRAW2, Value=null, Points=20, File=c0_12.png ]
models.card[ id=-287964292832771079, Name=Red 9, Colour=RED, Action=NUMBER, Value=9, Points=9, File=c0_09.png ]
models.card[ id=-2521322540996443568, Name=Blue 5, Colour=BLUE, Action=NUMBER, Value=5, Points=5, File=c3_05.png ]
models.card[ id=7110568119258600574, Name=Yellow 9, Colour=YELLOW, Action=NUMBER, Value=9, Points=9, File=c1_09.png ]
models.card[ id=-1696391112424466249, Name=Green Draw2, Colour=GREEN, Action=DRAW2, Value=null, Points=20, File=c2_12.png ]
models.card[ id=4174687416773599572, Name=Green 6, Colour=GREEN, Action=NUMBER, Value=6, Points=6, File=c2_06.png ]
models.card[ id=-7079164286390925707, Name=Blue 4, Colour=BLUE, Action=NUMBER, Value=4, Points=4, File=c3_04.png ]
models.card[ id=6927015868328982379, Name=Red 7, Colour=RED, Action=NUMBER, Value=7, Points=7, File=c0_07.png ]
models.card[ id=2985469819776332966, Name=Yellow Skip, Colour=YELLOW, Action=SKIP, Value=null, Points=20, File=c1_10.png ]
models.card[ id=8145507069796361755, Name=Wild, Colour=BLACK, Action=WILD, Value=null, Points=50, File=c4_00.png ]
models.card[ id=-6788332199511352713, Name=Green 1, Colour=GREEN, Action=NUMBER, Value=1, Points=1, File=c2_01.png ]
models.card[ id=956021029412852177, Name=Blue 0, Colour=BLUE, Action=NUMBER, Value=0, Points=0, File=c3_00.png ]
models.card[ id=5381911572404653693, Name=Red 5, Colour=RED, Action=NUMBER, Value=5, Points=5, File=c0_05.png ]
models.card[ id=711778066709841864, Name=Green 4, Colour=GREEN, Action=NUMBER, Value=4, Points=4, File=c2_04.png ]
models.card[ id=7532343196549054590, Name=Green Reverse, Colour=GREEN, Action=REVERSE, Value=null, Points=20, File=c2_11.png ]
models.card[ id=-2323079702894589350, Name=Blue 8, Colour=BLUE, Action=NUMBER, Value=8, Points=8, File=c3_08.png ]
models.card[ id=3083715626057796272, Name=Blue 3, Colour=BLUE, Action=NUMBER, Value=3, Points=3, File=c3_03.png ]
models.card[ id=-11071536201877309, Name=Red 3, Colour=RED, Action=NUMBER, Value=3, Points=3, File=c0_03.png ]
models.card[ id=4155352246457499438, Name=Green Skip, Colour=GREEN, Action=SKIP, Value=null, Points=20, File=c2_10.png ]
models.card[ id=496280101026627148, Name=Green 2, Colour=GREEN, Action=NUMBER, Value=2, Points=2, File=c2_02.png ]
models.card[ id=-2371536792794078114, Name=Yellow 2, Colour=YELLOW, Action=NUMBER, Value=2, Points=2, File=c1_02.png ]
models.card[ id=4128680917142521647, Name=Red 9, Colour=RED, Action=NUMBER, Value=9, Points=9, File=c0_09.png ]
models.card[ id=-3897513639201226141, Name=Yellow 9, Colour=YELLOW, Action=NUMBER, Value=9, Points=9, File=c1_09.png ]
models.card[ id=8002929599456665927, Name=Red Reverse, Colour=RED, Action=REVERSE, Value=null, Points=20, File=c0_11.png ]
models.card[ id=-8812439932913443328, Name=Red Skip, Colour=RED, Action=SKIP, Value=null, Points=20, File=c0_10.png ]
models.card[ id=8228940905058878378, Name=Blue Skip, Colour=BLUE, Action=SKIP, Value=null, Points=20, File=c3_10.png ]
models.card[ id=2768142530690801172, Name=Red 1, Colour=RED, Action=NUMBER, Value=1, Points=1, File=c0_01.png ]
models.card[ id=95977980581067541, Name=Yellow 6, Colour=YELLOW, Action=NUMBER, Value=6, Points=6, File=c1_06.png ]
models.card[ id=4096388293350813032, Name=Yellow 5, Colour=YELLOW, Action=NUMBER, Value=5, Points=5, File=c1_05.png ]
models.card[ id=8228940905058878378, Name=Blue Skip, Colour=BLUE, Action=SKIP, Value=null, Points=20, File=c3_10.png ]
models.card[ id=2803192869133865562, Name=Red 2, Colour=RED, Action=NUMBER, Value=2, Points=2, File=c0_02.png ]
models.card[ id=4174687416773599572, Name=Green 6, Colour=GREEN, Action=NUMBER, Value=6, Points=6, File=c2_06.png ]
models.card[ id=-7069486027048064396, Name=Wild + Draw4, Colour=BLACK, Action=WILD_DRAW4, Value=null, Points=50, File=c4_01.png ]
models.card[ id=-6362481183796369816, Name=Red 4, Colour=RED, Action=NUMBER, Value=4, Points=4, File=c0_04.png ]
models.card[ id=-1986910299361476025, Name=Wild, Colour=BLACK, Action=WILD, Value=null, Points=50, File=c4_00.png ]
models.card[ id=8228940905058878378, Name=Blue Skip, Colour=BLUE, Action=SKIP, Value=null, Points=20, File=c3_10.png ]
models.card[ id=3553233678484785241, Name=Green 3, Colour=GREEN, Action=NUMBER, Value=3, Points=3, File=c2_03.png ]
models.card[ id=-6401419223102981382, Name=Blue Skip, Colour=BLUE, Action=SKIP, Value=null, Points=20, File=c3_10.png ]
models.card[ id=1018470248820929949, Name=Green 7, Colour=GREEN, Action=NUMBER, Value=7, Points=7, File=c2_07.png ]
models.card[ id=3448096292141598838, Name=Green 0, Colour=GREEN, Action=NUMBER, Value=0, Points=0, File=c2_00.png ]
models.card[ id=6927015868328982379, Name=Red 7, Colour=RED, Action=NUMBER, Value=7, Points=7, File=c0_07.png ]
models.card[ id=-8342819032641899897, Name=Green Draw2, Colour=GREEN, Action=DRAW2, Value=null, Points=20, File=c2_12.png ]
models.card[ id=3454967788831773513, Name=Blue 9, Colour=BLUE, Action=NUMBER, Value=9, Points=9, File=c3_09.png ]
models.card[ id=298788939676188727, Name=Red 4, Colour=RED, Action=NUMBER, Value=4, Points=4, File=c0_04.png ]
models.card[ id=5851985665360318687, Name=Yellow Skip, Colour=YELLOW, Action=SKIP, Value=null, Points=20, File=c1_10.png ]
models.card[ id=5932246902572757123, Name=Green 4, Colour=GREEN, Action=NUMBER, Value=4, Points=4, File=c2_04.png ]
models.card[ id=-5857083785035729451, Name=Yellow 4, Colour=YELLOW, Action=NUMBER, Value=4, Points=4, File=c1_04.png ]
models.card[ id=-6418934825311787865, Name=Red 5, Colour=RED, Action=NUMBER, Value=5, Points=5, File=c0_05.png ]
models.card[ id=-4143486498694766765, Name=Yellow Reverse, Colour=YELLOW, Action=REVERSE, Value=null, Points=20, File=c1_11.png ]
models.card[ id=1030003418228802416, Name=Green 6, Colour=GREEN, Action=NUMBER, Value=6, Points=6, File=c2_06.png ]
models.card[ id=8228940905058878378, Name=Blue Skip, Colour=BLUE, Action=SKIP, Value=null, Points=20, File=c3_10.png ]
models.card[ id=4127955393271808715, Name=Red 2, Colour=RED, Action=NUMBER, Value=2, Points=2, File=c0_02.png ]
models.card[ id=1304609708140306822, Name=Green 9, Colour=GREEN, Action=NUMBER, Value=9, Points=9, File=c2_09.png ]
models.card[ id=2163517406134268229, Name=Blue 6, Colour=BLUE, Action=NUMBER, Value=6, Points=6, File=c3_06.png ]
models.card[ id=-238344485281269311, Name=Yellow Draw2, Colour=YELLOW, Action=DRAW2, Value=null, Points=20, File=c1_12.png ]
models.card[ id=-4433155381019663396, Name=Red 0, Colour=RED, Action=NUMBER, Value=0, Points=0, File=c0_00.png ]
models.card[ id=6888019900558635225, Name=Red 1, Colour=RED, Action=NUMBER, Value=1, Points=1, File=c0_01.png ]
models.card[ id=7451069831062250920, Name=Blue 8, Colour=BLUE, Action=NUMBER, Value=8, Points=8, File=c3_08.png ]
models.card[ id=496280101026627148, Name=Green 2, Colour=GREEN, Action=NUMBER, Value=2, Points=2, File=c2_02.png ]
models.card[ id=-9141805961257078990, Name=Green 8, Colour=GREEN, Action=NUMBER, Value=8, Points=8, File=c2_08.png ]
models.card[ id=-371557436388960879, Name=Blue 3, Colour=BLUE, Action=NUMBER, Value=3, Points=3, File=c3_03.png ]
models.card[ id=496280101026627148, Name=Green 2, Colour=GREEN, Action=NUMBER, Value=2, Points=2, File=c2_02.png ]
models.card[ id=-1124802313868492448, Name=Blue 2, Colour=BLUE, Action=NUMBER, Value=2, Points=2, File=c3_02.png ]
models.card[ id=-7864276219432814059, Name=Yellow 4, Colour=YELLOW, Action=NUMBER, Value=4, Points=4, File=c1_04.png ]
models.card[ id=4174687416773599572, Name=Green 6, Colour=GREEN, Action=NUMBER, Value=6, Points=6, File=c2_06.png ]
models.card[ id=-9032223846535584203, Name=Yellow 8, Colour=YELLOW, Action=NUMBER, Value=8, Points=8, File=c1_08.png ]
models.card[ id=298788939676188727, Name=Red 4, Colour=RED, Action=NUMBER, Value=4, Points=4, File=c0_04.png ]
models.card[ id=1853861957984095750, Name=Blue 6, Colour=BLUE, Action=NUMBER, Value=6, Points=6, File=c3_06.png ]
models.card[ id=4127955393271808715, Name=Red 2, Colour=RED, Action=NUMBER, Value=2, Points=2, File=c0_02.png ]
models.card[ id=8228940905058878378, Name=Blue Skip, Colour=BLUE, Action=SKIP, Value=null, Points=20, File=c3_10.png ]
models.card[ id=4423840819331272638, Name=Red Skip, Colour=RED, Action=SKIP, Value=null, Points=20, File=c0_10.png ]
models.card[ id=-11071536201877309, Name=Red 3, Colour=RED, Action=NUMBER, Value=3, Points=3, File=c0_03.png ]
models.card[ id=-1026648635203575391, Name=Yellow 6, Colour=YELLOW, Action=NUMBER, Value=6, Points=6, File=c1_06.png ]
models.card[ id=3921483152050948559, Name=Wild, Colour=BLACK, Action=WILD, Value=null, Points=50, File=c4_00.png ]
models.card[ id=8026511409076210036, Name=Wild + Draw4, Colour=BLACK, Action=WILD_DRAW4, Value=null, Points=50, File=c4_01.png ]
models.card[ id=-573281862231891175, Name=Blue 4, Colour=BLUE, Action=NUMBER, Value=4, Points=4, File=c3_04.png ]
